PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:42:25 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:42:40 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9304859019299537,,Mean Sway Velocity [m/s],,0.0635538701576706,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845745.6866226,-0.1436767578125,0.63861083984375,0.2454833984375,0.71502685546875,0.06,-0.09,0.12,0.8771986820794073,-0.32871961390591586
1648845745.7477221,-0.1436767578125,0.63861083984375,0.2454833984375,0.71502685546875,0.01,-0.07,0.16,0.8771986820794073,-0.32871961390591586
1648845745.7948806,-0.1436767578125,0.63861083984375,0.2454833984375,0.71502685546875,0.07,-0.1,0.13,0.8771986820794073,-0.32871961390591586
1648845745.856394,-0.14385986328125,0.638671875,0.245361328125,0.7149658203125,0.13,-0.06,0.03,0.8769726993813203,-0.32928663058453184
1648845745.9247377,-0.14404296875,0.6387939453125,0.244873046875,0.7149658203125,0.08,-0.04,0.02,0.8760550390782169,-0.3316156310720934
1648845745.9797523,-0.14404296875,0.63873291015625,0.24462890625,0.71514892578125,0.17,-0.04,0.03,0.8751312088273486,-0.33413809053272625
1648845746.048558,-0.1435546875,0.6387939453125,0.24407958984375,0.71533203125,0.11,-0.05,0.25,0.8744523136817787,-0.33567694900069284
1648845746.1023457,-0.1419677734375,0.63897705078125,0.24249267578125,0.716064453125,-0.19,0.4,0.29,0.8725105758296432,-0.34064860164507915
1648845746.1670601,-0.13873291015625,0.6400146484375,0.2396240234375,0.71673583984375,-0.04,0.38,0.13,0.8723532909272362,-0.3410272886112711
1648845746.2262847,-0.1346435546875,0.64117431640625,0.23638916015625,0.71759033203125,0.23,0.08,0.08,0.8726012366839476,-0.3405034620504967
1648845746.28756,-0.13128662109375,0.6407470703125,0.23046875,0.72052001953125,0.08,0.14,0.0,0.8580658491695298,-0.37457038942816856
1648845746.2915106,-0.129638671875,0.64044189453125,0.22674560546875,0.72222900390625,0.0,0.19,0.02,0.8476073405334708,-0.3968578251226231
1648845746.3495028,-0.12677001953125,0.6400146484375,0.21929931640625,0.72540283203125,0.05,-0.05,-0.08,0.8250904423792055,-0.4405047011254105
1648845746.4181416,-0.123046875,0.639404296875,0.21051025390625,0.72918701171875,0.01,0.17,-0.05,0.7956028896696097,-0.4903345099727674
1648845746.4711397,-0.11688232421875,0.6395263671875,0.2049560546875,0.731689453125,0.03,0.39,0.07,0.7864633318261058,-0.5041830893713211
1648845746.535372,-0.1080322265625,0.64190673828125,0.20111083984375,0.73199462890625,-0.38,-0.46,0.01,0.8013402130668577,-0.4806224876751965
1648845746.5942175,-0.0999755859375,0.648681640625,0.19085693359375,0.72991943359375,0.6,-1.05,0.25,0.8138978806679,-0.460696629862975
1648845746.655714,-0.09881591796875,0.65374755859375,0.18096923828125,0.72808837890625,0.11,-0.4,0.32,0.8071783182435197,-0.4733072602393321
1648845746.7257519,-0.09857177734375,0.66058349609375,0.17181396484375,0.72412109375,0.22,0.03,0.28,0.8137715553632231,-0.46340413304862604
1648845746.8311076,-0.0947265625,0.66912841796875,0.16278076171875,0.7188720703125,-0.13,-0.07,0.2,0.8461382537750692,-0.40350171447872524
1648845746.885403,-0.0885009765625,0.6807861328125,0.1510009765625,0.71124267578125,-0.38,-0.14,0.52,0.9013076746274638,-0.2608920412311318
1648845746.9503384,-0.07843017578125,0.69293212890625,0.13983154296875,0.70294189453125,0.03,-0.19,0.52,0.938656185342802,-0.006072303072935386
1648845747.0543022,-0.06805419921875,0.7042236328125,0.13250732421875,0.69415283203125,0.62,0.06,0.85,0.8974399817699038,0.27393427514198393
1648845747.1166923,-0.05767822265625,0.7166748046875,0.12896728515625,0.68292236328125,-0.21,-0.99,0.06,0.7878330130246061,0.5071135080173725
1648845747.1775568,-0.054443359375,0.7252197265625,0.12957763671875,0.67401123046875,0.06,-0.05,0.26,0.7001000721433187,0.6201123699270368
1648845747.2242053,-0.05133056640625,0.734375,0.13189697265625,0.663818359375,0.31,0.0,0.07,0.6198230776908826,0.696857203161699
1648845747.3345048,-0.05291748046875,0.74908447265625,0.13336181640625,0.64678955078125,5.88,1.29,-1.99,0.4775755874105568,0.7944883411839726
1648845747.3345048,-0.05096435546875,0.7498779296875,0.13671875,0.64532470703125,6.2,0.97,-1.33,0.49323866257691207,0.784108083614241
1648845747.3947053,-0.05242919921875,0.75714111328125,0.1334228515625,0.6373291015625,1.05,0.37,-0.32,0.41836362934690563,0.822729348956252
1648845747.4638534,-0.041748046875,0.76910400390625,0.139404296875,0.622314453125,0.6,0.34,0.17,0.41467944418725683,0.8159218042513303
1648845747.5170827,-0.02655029296875,0.78204345703125,0.13763427734375,0.6072998046875,2.42,1.4000000000000001,-0.62,0.4071569489218305,0.8095811355345935
