PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:30:01 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:30:30 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9123715487575847,,Mean Sway Velocity [m/s],,0.007396425512205513,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845001.446304,0.48590087890625,-0.44091796875,-0.74505615234375,-0.1197509765625,0.05,0.15,0.03,-0.42045398802725564,0.69628142017636
1648845001.4925463,0.48577880859375,-0.4410400390625,-0.74505615234375,-0.11993408203125,-0.06,0.05,-0.09,-0.41999294525403424,0.6964861070814994
1648845001.554507,0.485595703125,-0.441162109375,-0.7451171875,-0.11981201171875,0.01,0.1,-0.07,-0.41988362452159744,0.6962848561026032
1648845001.615756,0.48529052734375,-0.441162109375,-0.74530029296875,-0.11981201171875,0.03,0.08,-0.11,-0.41907070153888165,0.6963848822892011
1648845001.6776657,0.48516845703125,-0.441162109375,-0.745361328125,-0.119873046875,-0.05,0.09,-0.03,-0.41864787850520846,0.6964995964141235
1648845001.7416708,0.4849853515625,-0.4412841796875,-0.7454833984375,-0.11968994140625,0.07,0.06,-0.11,-0.41860365186370013,0.6962886176689732
1648845001.7996783,0.48541259765625,-0.441162109375,-0.7452392578125,-0.11968994140625,0.14,0.11,-0.11,-0.419599865775864,0.6961780946980075
1648845001.8469026,0.48626708984375,-0.4417724609375,-0.74432373046875,-0.1199951171875,-0.06,0.0,-0.03,-0.42229089863815356,0.6957422538064558
1648845001.8953779,0.48663330078125,-0.444091796875,-0.74267578125,-0.1199951171875,0.02,0.06,0.01,-0.4267649442898426,0.6934326469825983
1648845001.9550464,0.4866943359375,-0.4486083984375,-0.73974609375,-0.1209716796875,0.31,-0.19,-0.05,-0.43209410415822685,0.6904881754699402
1648845002.016087,0.488525390625,-0.45166015625,-0.7362060546875,-0.12384033203125,0.03,-0.6900000000000001,0.09,-0.4371891991470162,0.6904275818900271
1648845002.1253483,0.49298095703125,-0.4525146484375,-0.73211669921875,-0.12725830078125,-0.13,0.0,0.07,-0.44573989930982266,0.6914589075090393
1648845002.186791,0.49993896484375,-0.45123291015625,-0.72686767578125,-0.13482666015625,-0.02,-0.14,-0.09,-0.4524946710023495,0.6978058171703676
1648845002.2877128,0.50738525390625,-0.4493408203125,-0.720703125,-0.1458740234375,-0.06,-0.19,-0.09,-0.4556368059850646,0.7078063403793318
1648845002.3401597,0.515869140625,-0.44512939453125,-0.71551513671875,-0.154052734375,-0.37,-0.53,-0.25,-0.4637372532210594,0.7144150153522377
1648845002.387278,0.52349853515625,-0.440185546875,-0.71240234375,-0.1572265625,-0.53,-0.49,0.02,-0.4760862420368273,0.7154107441359812
1648845002.4479005,0.53076171875,-0.4334716796875,-0.70880126953125,-0.16717529296875,-0.61,-0.42,0.51,-0.4747185923092339,0.7266561609374153
1648845002.5573196,0.53302001953125,-0.42913818359375,-0.7054443359375,-0.18450927734375,-0.36,-0.38,0.12,-0.4473738316236988,0.7512687646654984
1648845002.6188562,0.5411376953125,-0.42108154296875,-0.6953125,-0.21551513671875,-0.09,-0.76,-1.01,-0.40986363405358434,0.7887695248743385
1648845002.683133,0.54937744140625,-0.41290283203125,-0.68487548828125,-0.2421875,-0.5700000000000001,-1.25,-1.99,-0.37585615237540426,0.8193096017261136
1648845002.7401526,0.55694580078125,-0.40948486328125,-0.6756591796875,-0.256103515625,0.55,0.55,-1.2,-0.3801802943902869,0.8259375865918767
1648845002.7863984,0.56488037109375,-0.41131591796875,-0.664794921875,-0.26409912109375,0.91,0.91,0.68,-0.4269797034460403,0.8094645515673567
1648845002.8483279,0.56561279296875,-0.41485595703125,-0.65643310546875,-0.27777099609375,-0.12,1.9000000000000001,0.8200000000000001,-0.4251919681079657,0.8143271719932627
1648845002.9099114,0.55657958984375,-0.4263916015625,-0.64825439453125,-0.296875,-0.61,2.06,0.41000000000000003,-0.377764057116118,0.8376416473742994
1648845002.9562209,0.5472412109375,-0.43890380859375,-0.6392822265625,-0.31500244140625,-1.07,0.42,-0.06,-0.33581174633310473,0.8557008127392208
1648845003.0645883,0.53936767578125,-0.45733642578125,-0.62725830078125,-0.3262939453125,-1.22,0.84,0.63,-0.35559198017616017,0.8470955719005197
1648845003.1262195,0.524658203125,-0.4951171875,-0.60498046875,-0.33697509765625,0.66,1.34,-0.1,-0.421725830439142,0.8121958665547397
1648845003.1880136,0.513671875,-0.5184326171875,-0.58758544921875,-0.34954833984375,-0.61,-0.3,-0.5,-0.4424371005319698,0.7998207244578435
1648845003.249379,0.49530029296875,-0.55780029296875,-0.55889892578125,-0.36224365234375,-1.56,-1.35,-1.96,-0.4816860353129004,0.771663269518069
