PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:38:50 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:39:10 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9275922810553381,,Mean Sway Velocity [m/s],,0.01341971351206861,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845530.568153,-0.24676513671875,0.60870361328125,0.33599853515625,0.675048828125,0.02,-0.12,0.12,0.9174363100765998,-0.19615331542623654
1648845530.6326442,-0.24786376953125,0.60626220703125,0.335205078125,0.67724609375,0.02,-0.02,0.09,0.908100901370934,-0.23471919272354594
1648845530.6795938,-0.24810791015625,0.60577392578125,0.3349609375,0.67767333984375,0.08,-0.01,0.01,0.9058707120665246,-0.24276725716880887
1648845530.7408009,-0.2484130859375,0.60528564453125,0.33477783203125,0.6781005859375,0.07,-0.04,0.12,0.9036609159558173,-0.25071178710371006
1648845530.7888925,-0.24859619140625,0.60491943359375,0.3345947265625,0.678466796875,0.02,-0.06,0.13,0.9018720102660019,-0.2569755093532338
1648845530.8493967,-0.24884033203125,0.6046142578125,0.33441162109375,0.6787109375,0.0,-0.03,0.18,0.9002366452051113,-0.26237507112604264
1648845530.9094727,-0.24896240234375,0.6044921875,0.33428955078125,0.67889404296875,0.0,-0.03,0.12,0.8993817143886377,-0.26547560333742076
1648845531.0250678,-0.2490234375,0.60443115234375,0.33416748046875,0.678955078125,0.04,-0.02,-0.01,0.898826942997174,-0.2671684170503327
1648845531.0814319,-0.24896240234375,0.6046142578125,0.334228515625,0.67877197265625,0.01,-0.05,0.1,0.8996598516931683,-0.2643765145690946
1648845531.1411061,-0.24871826171875,0.60504150390625,0.33441162109375,0.67840576171875,0.0,-0.06,0.04,0.901723135355391,-0.25751515999919367
1648845531.2017791,-0.24859619140625,0.60528564453125,0.33447265625,0.67816162109375,0.11,-0.03,-0.01,0.9027890481452813,-0.25367083482591474
1648845531.2633615,-0.2486572265625,0.605224609375,0.33447265625,0.67822265625,0.08,-0.02,0.05,0.9025317021026674,-0.2546925651910334
1648845531.3253896,-0.248779296875,0.60491943359375,0.3343505859375,0.67852783203125,0.05,-0.02,0.08,0.9011153834256345,-0.25960134368140386
1648845531.433578,-0.2489013671875,0.60467529296875,0.334228515625,0.67877197265625,0.01,-0.02,0.16,0.8998873988359468,-0.26376185594238866
1648845531.4965956,-0.24908447265625,0.6043701171875,0.33416748046875,0.67901611328125,0.02,-0.01,0.14,0.8985567905275917,-0.26817711005892897
1648845531.5562053,-0.2491455078125,0.603759765625,0.3341064453125,0.6795654296875,0.13,-0.02,0.11,0.896257187610227,-0.2755269028613376
1648845531.6183975,-0.24859619140625,0.603515625,0.33367919921875,0.68017578125,0.0,0.0,0.06,0.8946600182215433,-0.28042330585916264
1648845531.6806104,-0.2470703125,0.60272216796875,0.33294677734375,0.6817626953125,0.1,0.28,0.0,0.8910633869072699,-0.2910945120888461
1648845531.741246,-0.24212646484375,0.60107421875,0.33111572265625,0.68585205078125,0.0,0.5700000000000001,0.1,0.8842412986091389,-0.31013789874058123
1648845531.8172264,-0.23486328125,0.6007080078125,0.32708740234375,0.69061279296875,0.1,-0.12,0.04,0.8777339514605972,-0.32707743282909013
1648845531.924803,-0.22808837890625,0.59979248046875,0.32159423828125,0.6962890625,-0.02,-0.23,0.13,0.8645967517439173,-0.3589656401631799
1648845531.924803,-0.22552490234375,0.5997314453125,0.3192138671875,0.6982421875,-0.02,-0.23,0.14,0.8597009553320892,-0.36988203752590704
1648845531.9721024,-0.22052001953125,0.5999755859375,0.31390380859375,0.70208740234375,-0.32,-0.21,0.02,0.8491181187905088,-0.39264111649499417
1648845532.0330398,-0.216552734375,0.60009765625,0.31060791015625,0.70465087890625,0.16,-0.09,0.27,0.8435241011559785,-0.4037317827908983
1648845532.0939734,-0.20904541015625,0.60443115234375,0.30572509765625,0.705322265625,0.21,-0.3,-0.08,0.8523482738200925,-0.38552867828569476
