PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:40:33 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:40:52 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9317270374904512,,Mean Sway Velocity [m/s],,0.06880335484668176,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845633.5648797,-0.12017822265625,0.67913818359375,0.228271484375,0.68719482421875,-0.03,0.05,0.34,0.9243164803737497,0.16179557859286497
1648845633.625917,-0.1204833984375,0.67864990234375,0.2279052734375,0.68768310546875,-0.05,0.0,0.17,0.9257571588609753,0.1530816144340258
1648845633.6909032,-0.1209716796875,0.677978515625,0.2279052734375,0.6883544921875,0.18,-0.09,0.15,0.9277422787391606,0.14166242152904562
1648845633.7487419,-0.121337890625,0.67718505859375,0.22760009765625,0.68914794921875,0.07,-0.05,0.02,0.929800718996939,0.12759249097257444
1648845633.8414896,-0.12152099609375,0.6768798828125,0.2275390625,0.68939208984375,0.01,-0.04,0.07,0.9304127595605315,0.12273978700578586
1648845633.9034111,-0.12164306640625,0.67657470703125,0.2274169921875,0.689697265625,0.08,0.0,0.11,0.9311188667193004,0.11726188093808898
1648845633.964892,-0.12176513671875,0.676025390625,0.227294921875,0.6903076171875,0.05,0.04,0.15,0.9324465745283755,0.10704689224193725
1648845634.0282865,-0.12176513671875,0.675537109375,0.22711181640625,0.6907958984375,0.02,0.08,0.15,0.9333637237165743,0.09832651349143108
1648845634.088259,-0.12127685546875,0.67523193359375,0.22650146484375,0.69140625,0.67,-0.26,0.52,0.9342984409097269,0.08957371672282222
1648845634.1493742,-0.11895751953125,0.6749267578125,0.22662353515625,0.69207763671875,-0.67,0.0,-0.24,0.9349258638751363,0.08303690674903616
1648845634.211218,-0.12005615234375,0.6783447265625,0.22418212890625,0.6893310546875,0.14,-0.09,0.18,0.9293132810810738,0.13088722420750984
1648845634.319147,-0.1243896484375,0.6837158203125,0.22259521484375,0.68377685546875,-0.03,0.35000000000000003,0.22,0.910035254702428,0.22808753370013485
1648845634.3665957,-0.12548828125,0.69586181640625,0.21942138671875,0.6722412109375,0.07,-0.53,0.05,0.826787185377735,0.44035601650873823
1648845634.4296582,-0.1309814453125,0.70574951171875,0.22021484375,0.6605224609375,-0.14,0.42,0.49,0.7052914178251792,0.6132688811482641
1648845634.4895623,-0.13134765625,0.71343994140625,0.22296142578125,0.65118408203125,0.18,0.2,0.85,0.6188871808825336,0.6971153171864011
1648845634.5513613,-0.1302490234375,0.71893310546875,0.22576904296875,0.6444091796875,-0.05,-0.02,0.22,0.5702225983496031,0.7347738257692107
1648845634.6128016,-0.129638671875,0.7333984375,0.22808837890625,0.62713623046875,0.33,0.11,0.52,0.44189007328855273,0.8107979790678568
1648845634.6749048,-0.13470458984375,0.75146484375,0.2313232421875,0.60296630859375,0.67,0.62,0.97,0.2889091214130082,0.8650150391632198
1648845634.735824,-0.13299560546875,0.76702880859375,0.22882080078125,0.58453369140625,0.81,0.6,-0.22,0.206642006496619,0.8768149283750462
1648845634.7975988,-0.12908935546875,0.78094482421875,0.2264404296875,0.567626953125,1.37,0.54,-1.1500000000000001,0.15915069907446347,0.8742489635555635
1648845634.8588362,-0.12017822265625,0.79364013671875,0.22674560546875,0.5516357421875,1.6400000000000001,-0.12,-1.61,0.15179451950498565,0.8615842210997153
1648845634.9246612,-0.11444091796875,0.79852294921875,0.22021484375,0.5484619140625,0.05,0.6900000000000001,-0.06,0.1464522996561518,0.8588808879838737
1648845634.981965,-0.10382080078125,0.80419921875,0.21185302734375,0.54559326171875,-0.17,0.43,-0.18,0.1550935061741523,0.853134172878968
1648845635.028379,-0.0848388671875,0.811279296875,0.2044677734375,0.5411376953125,-0.08,-0.48,-0.55,0.19213540413218,0.8386220723311192
1648845635.091482,-0.0677490234375,0.81744384765625,0.2001953125,0.53582763671875,-0.4,-0.06,-0.35000000000000003,0.22690353140891367,0.8226302737825157
1648845635.1516037,-0.05010986328125,0.82525634765625,0.19842529296875,0.5263671875,-0.41000000000000003,0.55,0.1,0.2583034349078102,0.8019724511763523
1648845635.1983418,-0.03948974609375,0.83038330078125,0.2061767578125,0.51611328125,0.64,-0.9400000000000001,0.64,0.2838469088487831,0.7814925290106699
1648845635.2595432,-0.03607177734375,0.8341064453125,0.21240234375,0.5078125,0.58,-0.91,0.48,0.28846743645983797,0.7704100603564707
1648845635.322425,-0.03515625,0.83807373046875,0.2218017578125,0.49725341796875,0.8300000000000001,-0.07,0.73,0.28719439701162913,0.7587937915520211
1648845635.38356,-0.03546142578125,0.83819580078125,0.23028564453125,0.49310302734375,0.28,0.5700000000000001,1.31,0.29254197068205046,0.7518757380290176
1648845635.4436631,-0.0360107421875,0.8330078125,0.2364501953125,0.49884033203125,1.22,-0.46,1.1400000000000001,0.31169328129201496,0.7509319705356059
1648845635.5055037,-0.033203125,0.825439453125,0.23455810546875,0.51239013671875,0.01,0.4,1.1400000000000001,0.3429888589445252,0.7527388721261822
1648845635.565922,-0.0284423828125,0.81488037109375,0.2281494140625,0.53204345703125,-0.78,0.51,1.01,0.3883526610403453,0.7521003547955222
1648845635.612827,-0.0191650390625,0.8052978515625,0.21697998046875,0.55145263671875,-1.01,0.78,-0.03,0.44150361015271405,0.742639285177181
1648845635.659995,-0.0003662109375,0.79669189453125,0.197265625,0.5712890625,-1.18,0.08,0.05,0.5101213109137646,0.7173995404281841
1648845635.7208884,0.01605224609375,0.7901611328125,0.1817626953125,0.58514404296875,-0.86,-0.7000000000000001,0.0,0.5663182500859895,0.6879024677317767
1648845635.7831123,0.03021240234375,0.7867431640625,0.16229248046875,0.59478759765625,-0.39,0.7000000000000001,0.55,0.598597851538027,0.6696097886049842
1648845635.845255,0.0479736328125,0.78436279296875,0.13934326171875,0.6025390625,-0.37,0.0,0.71,0.6291169671617598,0.6491887326856958
1648845635.9056313,0.06787109375,0.78009033203125,0.11297607421875,0.61163330078125,-0.34,-0.37,0.9400000000000001,0.665783988226155,0.6213043531828636
1648845635.9527316,0.07940673828125,0.775146484375,0.0921630859375,0.61993408203125,-0.21,0.55,0.53,0.690298569027973,0.6020117220146617
1648845636.0144339,0.080810546875,0.76806640625,0.07586669921875,0.6307373046875,-0.75,1.73,1.09,0.7081188231155499,0.5895121141836133
1648845636.0753093,0.0841064453125,0.76214599609375,0.0557861328125,0.63946533203125,-1.29,2.65,0.7000000000000001,0.7180844194925302,0.5835835793033944
1648845636.136818,0.095947265625,0.7603759765625,0.02960205078125,0.64166259765625,-2.46,1.93,0.12,0.7117727347635263,0.5936846682715502
1648845636.198805,0.110107421875,0.766845703125,0.0069580078125,0.63226318359375,3.94,2.29,-1.45,0.6664527900077525,0.6399855505638964
1648845636.260792,0.14141845703125,0.76495361328125,-0.0234375,0.6279296875,0.28,-1.3800000000000001,-1.42,0.6918418859235739,0.6136771802106323
1648845636.3213038,0.16082763671875,0.75982666015625,-0.05224609375,0.62774658203125,-1.09,0.27,-1.87,0.6992580217599932,0.6079270063884676
1648845636.3674319,0.170166015625,0.763671875,-0.08245849609375,0.61724853515625,-0.64,-0.47000000000000003,-1.78,0.6193626062296366,0.6847407472646102
1648845636.444235,0.190673828125,0.75799560546875,-0.1259765625,0.61090087890625,-0.31,-0.49,-1.6600000000000001,0.5618413918140276,0.7325411386293016
1648845636.5654483,0.22857666015625,0.744384765625,-0.1866455078125,0.5989990234375,-0.39,-0.77,-0.65,0.5148637453857008,0.7669109626886254
1648845636.5714002,0.24176025390625,0.74072265625,-0.2061767578125,0.5919189453125,0.44,-1.1,-0.62,0.4978088918866997,0.7771812819839811
1648845636.6603396,0.2696533203125,0.7286376953125,-0.26190185546875,0.572509765625,-0.18,-0.49,0.33,0.39764675104310054,0.8295094550473087
1648845636.7222152,0.284423828125,0.72064208984375,-0.29449462890625,0.55950927734375,-0.77,0.2,0.61,0.33268245204976427,0.8548786279415309
1648845636.7825468,0.3016357421875,0.71417236328125,-0.3284912109375,0.53948974609375,1.54,0.09,0.9,0.28921288737162126,0.8651127588708833
1648845636.8444247,0.32177734375,0.69793701171875,-0.3526611328125,0.5338134765625,0.55,-0.23,2.49,0.2907782055723629,0.8676069990094359
1648845636.9059997,0.34552001953125,0.6748046875,-0.3720703125,0.53558349609375,-0.9,-0.44,1.31,0.31898121676639374,0.8651268078588037
1648845636.9692385,0.35498046875,0.66009521484375,-0.406005859375,0.52288818359375,1.76,-3.09,-1.47,0.2008120180406194,0.8972977631101386
1648845637.0277054,0.35400390625,0.65509033203125,-0.42218017578125,0.51708984375,0.73,2.83,-1.1300000000000001,0.11799426018932607,0.909255847898264
1648845637.1002033,0.37603759765625,0.64105224609375,-0.43695068359375,0.50665283203125,-2.15,1.31,-1.26,0.1779966486706594,0.9015666929689793
1648845637.1753798,0.40032958984375,0.62664794921875,-0.45745849609375,0.487548828125,-0.14,-1.41,-0.86,0.24709684975470422,0.885030993101759
1648845637.2319348,0.4169921875,0.6171875,-0.46990966796875,0.47369384765625,0.9500000000000001,2.1,0.87,0.3035731145210815,0.867472564333879
1648845637.2913384,0.44158935546875,0.59869384765625,-0.48065185546875,0.46429443359375,-1.34,1.76,0.48,0.3928314275338489,0.835868926768003
1648845637.3516195,0.46026611328125,0.5845947265625,-0.49627685546875,0.4473876953125,-0.29,0.11,-0.26,0.44246255555818215,0.8112529054522735
1648845637.41105,0.47784423828125,0.5682373046875,-0.513671875,0.4300537109375,-0.23,0.16,0.29,0.473180098054802,0.7942173887442101
1648845637.458977,0.489013671875,0.55352783203125,-0.52496337890625,0.4229736328125,0.19,0.77,0.93,0.4790120741258696,0.7924892094542269
1648845637.5252352,0.50042724609375,0.534423828125,-0.5369873046875,0.4190673828125,-0.37,1.29,1.04,0.46691672790930855,0.8024101147102616
1648845637.585078,0.51220703125,0.51556396484375,-0.548095703125,0.41400146484375,-0.6,1.1500000000000001,0.98,0.4593256983217775,0.8090983648747627
1648845637.6438212,0.5155029296875,0.50811767578125,-0.5562744140625,0.40814208984375,-0.5,1.75,1.07,0.4303118315585982,0.8244672101288015
1648845637.829977,0.51910400390625,0.503662109375,-0.5654296875,0.39642333984375,4.37,3.24,0.51,0.4253711353004331,0.8253653014979818
1648845637.833445,0.523193359375,0.5020751953125,-0.570556640625,0.3856201171875,1.67,2.41,0.4,0.45231007724718436,0.8095796188192246
1648845637.8964257,0.5467529296875,0.44671630859375,-0.6146240234375,0.351806640625,-1.23,-0.64,-1.6,0.31982472891212366,0.8705338342137475
1648845637.9512374,0.5677490234375,0.4061279296875,-0.64111328125,0.31884765625,1.41,0.87,-1.03,0.30558386973370927,0.8759864876496632
1648845638.0121086,0.57513427734375,0.3656005859375,-0.6695556640625,0.29541015625,-0.64,0.22,-0.87,0.14125976014828243,0.9151680084173204
1648845638.1202853,0.58026123046875,0.32171630859375,-0.6988525390625,0.267333984375,-1.26,-0.04,-0.4,-0.00150764245799025,0.922772536857345
1648845638.1821787,0.58563232421875,0.25262451171875,-0.7396240234375,0.21484375,0.87,0.48,0.6900000000000001,-0.09232994511304918,0.9106386244737483
1648845638.2932365,0.60601806640625,0.180908203125,-0.7559814453125,0.1689453125,-0.98,-0.01,1.5,-0.16050650932819713,0.9039671979139585
1648845638.2970667,0.61077880859375,0.16204833984375,-0.75909423828125,0.15631103515625,-0.88,0.71,1.61,-0.17698210930219885,0.90151380245878
1648845638.3531795,0.61920166015625,0.13037109375,-0.764404296875,0.1234130859375,0.73,1.36,0.81,-0.12495861477450669,0.9106288637590845
1648845638.4411707,0.62115478515625,0.10308837890625,-0.771240234375,0.093505859375,5.54,-1.22,-1.77,-0.07174425472007341,0.9147887835449858
1648845638.4937904,0.629638671875,0.060302734375,-0.771728515625,0.0654296875,-3.72,0.6,-1.71,-0.1175330407004043,0.9124056878535406
1648845638.5518494,0.6258544921875,0.0404052734375,-0.77838134765625,0.0289306640625,2.6,-1.51,-0.93,0.0241718434852399,0.9164615364257656
1648845638.628586,0.6348876953125,0.0299072265625,-0.77191162109375,0.0118408203125,-1.6500000000000001,1.42,0.58,0.09504018144001433,0.9159929961040825
1648845638.6911128,0.63897705078125,0.02691650390625,-0.7686767578125,-0.00909423828125,-1.19,-0.72,0.32,0.2396448858728925,0.8911026527347449
1648845638.7990422,0.64447021484375,0.026611328125,-0.7640380859375,-0.01312255859375,0.9,1.26,2.5100000000000002,0.2874700909352074,0.8793777424454834
1648845638.7990422,0.65020751953125,0.0250244140625,-0.75927734375,-0.01116943359375,0.29,2.16,1.82,0.286877806626352,0.8819963155409842
1648845638.8603394,0.65692138671875,0.015380859375,-0.75360107421875,-0.01708984375,2.79,2.64,-2.11,0.29993563529656403,0.8802175663799
1648845638.9229898,0.64874267578125,0.00128173828125,-0.76031494140625,-0.032958984375,1.12,0.06,-2.94,0.29550905240272773,0.8788584939410745
1648845638.9832447,0.65185546875,-0.01348876953125,-0.75732421875,-0.03717041015625,-3.66,-0.8300000000000001,-2.5100000000000002,0.23842607461785253,0.8973140968667379
1648845639.0466628,0.6453857421875,-0.02484130859375,-0.7630615234375,-0.02386474609375,3.29,1.6300000000000001,-1.53,0.02465493579870499,0.9253438760498531
1648845639.1078875,0.64202880859375,-0.04388427734375,-0.7652587890625,-0.0169677734375,1.35,-0.1,-0.98,-0.16051153432465443,0.9101829052121222
1648845639.1754322,0.6497802734375,-0.0849609375,-0.75537109375,-0.002197265625,-1.79,-0.22,0.65,-0.5322382463239996,0.7593223284466462
1648845639.2299712,0.65203857421875,-0.1080322265625,-0.75048828125,0.0013427734375,2.05,0.6,-0.05,-0.6480785215036455,0.6644374849636698
1648845639.2925365,0.66107177734375,-0.12750244140625,-0.7393798828125,0.00567626953125,-2.59,0.8,0.0,-0.7648864627656742,0.5311295513919134
1648845639.3530495,0.67218017578125,-0.14630126953125,-0.72576904296875,0.0042724609375,-3.12,0.52,0.1,-0.847999390855681,0.39222843052246076
1648845639.3992023,0.67181396484375,-0.160400390625,-0.72308349609375,-0.008544921875,-2.72,1.08,0.78,-0.8467991878868971,0.39461561183042193
1648845639.4936087,0.66796875,-0.17413330078125,-0.7225341796875,-0.0379638671875,-1.46,0.65,0.4,-0.8087242155054771,0.4662995666526978
1648845639.5539913,0.66644287109375,-0.1884765625,-0.71795654296875,-0.06939697265625,-1.6,0.44,-0.09,-0.7786717849999646,0.5153077143415276
1648845639.6206794,0.66912841796875,-0.19219970703125,-0.712890625,-0.08441162109375,1.12,-0.68,0.2,-0.7835321124208365,0.5099518190668236
1648845639.6782665,0.66790771484375,-0.19952392578125,-0.71014404296875,-0.0987548828125,4.43,0.09,0.64,-0.7693382618198212,0.5313511437680652
1648845639.73754,0.64361572265625,-0.21868896484375,-0.7252197265625,-0.10968017578125,8.53,-0.27,-1.3,-0.5995234809515088,0.7089485869154942
1648845639.7990432,0.5999755859375,-0.229736328125,-0.75799560546875,-0.1126708984375,6.34,0.24,-2.49,-0.35740577998132345,0.8344174031348621
1648845639.8446748,0.55084228515625,-0.2352294921875,-0.792236328125,-0.11663818359375,-1.09,2.14,0.35000000000000003,-0.18687326248041597,0.8533613845677849
1648845639.8921897,0.5028076171875,-0.24298095703125,-0.8182373046875,-0.13653564453125,2.7600000000000002,-1.73,0.34,-0.042892686119874124,0.8337942838923618
1648845639.9518497,0.4984130859375,-0.24139404296875,-0.8193359375,-0.148193359375,-2.84,-0.09,2.42,0.004522238851198271,0.8338101685377797
1648845640.0133805,0.48199462890625,-0.2362060546875,-0.829345703125,-0.15533447265625,-1.18,0.73,1.24,0.057607420988996086,0.8178017283536994
1648845640.0741878,0.4715576171875,-0.22784423828125,-0.835693359375,-0.1654052734375,1.26,0.38,0.2,0.1146023618737638,0.8045209486461475
1648845640.122796,0.473876953125,-0.213134765625,-0.83599853515625,-0.176513671875,-0.3,0.88,0.44,0.1757624274971645,0.7999697386512951
1648845640.1818192,0.46905517578125,-0.2066650390625,-0.837890625,-0.187744140625,0.29,1.01,-0.21,0.22480800926185693,0.7870930498458723
1648845640.2619529,0.474609375,-0.19677734375,-0.8336181640625,-0.20269775390625,-1.42,-1.6,0.7000000000000001,0.2888986609443067,0.777963614802149
1648845640.3200192,0.4803466796875,-0.182861328125,-0.83331298828125,-0.20361328125,-1.84,-1.28,1.72,0.317341455897301,0.7730179540649036
1648845640.366434,0.48455810546875,-0.16943359375,-0.83428955078125,-0.201171875,-2.08,0.74,2.58,0.33458192769161754,0.76889345261483
1648845640.428089,0.4871826171875,-0.16143798828125,-0.83343505859375,-0.20489501953125,-2.04,-1.69,2.08,0.3616029927347102,0.760759124146481
1648845640.489934,0.4912109375,-0.15484619140625,-0.83233642578125,-0.2047119140625,-1.6600000000000001,-1.1500000000000001,2.13,0.3745089362570097,0.7583977526361969
1648845640.5673103,0.498291015625,-0.14385986328125,-0.8314208984375,-0.199462890625,-1.28,-1.45,2.58,0.38111147292874953,0.7600252051047518
1648845640.6263375,0.513671875,-0.115966796875,-0.83050537109375,-0.18145751953125,0.31,-0.85,0.34,0.384114978859058,0.7668208129970042
1648845640.679983,0.52752685546875,-0.05474853515625,-0.83978271484375,-0.1158447265625,-1.77,-1.56,-0.6900000000000001,0.2928939226242733,0.8014770872458852
1648845640.7360535,0.52191162109375,0.00189208984375,-0.85113525390625,-0.05645751953125,-1.55,1.71,0.34,0.20039061373449338,0.8145434603474777
1648845640.7979925,0.51312255859375,0.04290771484375,-0.85711669921875,-0.01336669921875,-4.69,3.3000000000000003,1.47,0.13153965928703046,0.8164679563133858
1648845640.8629873,0.50531005859375,0.060302734375,-0.86077880859375,0.00701904296875,-4.29,2.59,5.66,0.09328731044646425,0.8133323884706729
1648845640.9201574,0.501953125,0.06005859375,-0.86273193359375,0.00787353515625,-8.74,1.74,4.95,0.08801840089415952,0.8103015778526046
1648845641.0272076,0.48974609375,0.04559326171875,-0.87042236328125,-0.01953125,-9.07,-1.02,2.23,0.1405255323735197,0.7896270365231661
1648845641.0956564,0.432861328125,0.0455322265625,-0.89996337890625,-0.023681640625,4.36,2.1,-7.0200000000000005,0.1223429835319562,0.7231037907545295
1648845641.0996244,0.406494140625,0.05010986328125,-0.9119873046875,-0.0238037109375,10.4,4.3500000000000005,-10.06,0.11726091795128993,0.688303576437763
