PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:36:39 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:36:53 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.925960566737238,,Mean Sway Velocity [m/s],,0.0077233855384759775,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845400.0179558,0.2000732421875,-0.62103271484375,-0.2567138671875,-0.7130126953125,0.1,0.0,0.0,0.7245868066699127,-0.5897868794765618
1648845400.091923,0.1973876953125,-0.62109375,-0.254638671875,-0.71441650390625,0.0,0.41000000000000003,0.17,0.7214296241611995,-0.5932929462607136
1648845400.1414762,0.19390869140625,-0.62451171875,-0.250732421875,-0.71380615234375,-0.72,0.43,0.01,0.7279468797470162,-0.5860095710533504
1648845400.224629,0.18707275390625,-0.62994384765625,-0.24609375,-0.7125244140625,0.07,-0.18,-0.72,0.7540136763930356,-0.5534689955574776
1648845400.2797956,0.1781005859375,-0.63861083984375,-0.24322509765625,-0.7080078125,0.26,-0.42,0.72,0.8174142117766692,-0.45726423492110596
1648845400.3265738,0.17254638671875,-0.6458740234375,-0.23577880859375,-0.705322265625,-1.1500000000000001,0.32,0.5,0.8406557920187031,-0.41450049364739633
1648845400.4420497,0.168701171875,-0.6539306640625,-0.228759765625,-0.70111083984375,0.48,-0.43,-0.09,0.8715074859556089,-0.3466256552292365
1648845400.4980593,0.1619873046875,-0.669189453125,-0.22662353515625,-0.68890380859375,-0.54,0.9400000000000001,-0.58,0.9385485857335027,-0.016206064070931198
1648845400.4980593,0.15643310546875,-0.67633056640625,-0.2275390625,-0.682861328125,0.35000000000000003,0.39,-0.19,0.9228589468532234,0.1706233356440473
1648845400.559116,0.149169921875,-0.6920166015625,-0.23095703125,-0.66748046875,0.36,-1.11,0.32,0.7932645126197008,0.49822274634124714
1648845400.624037,0.14459228515625,-0.70245361328125,-0.23236083984375,-0.656982421875,-0.56,-0.84,0.93,0.6877646925639175,0.6325503575211251
1648845400.6814106,0.14288330078125,-0.716796875,-0.2340087890625,-0.64111328125,0.56,-0.73,0.84,0.535409717659946,0.7602016143582985
1648845400.7286289,0.14764404296875,-0.73223876953125,-0.23553466796875,-0.6217041015625,1.83,0.25,-0.17,0.3620459206316452,0.8487525502040695
1648845400.7965536,0.15545654296875,-0.74505615234375,-0.236083984375,-0.6041259765625,4.47,2.13,-1.21,0.22058103732631257,0.8883308478479915
1648845400.8513606,0.15472412109375,-0.7603759765625,-0.2315673828125,-0.58673095703125,1.56,0.96,-0.58,0.12853381049158547,0.8963076493283224
1648845400.9309251,0.14715576171875,-0.776123046875,-0.2247314453125,-0.57049560546875,2.71,-0.12,-1.31,0.08558780782065058,0.8896201039050481
1648845400.9983902,0.1456298828125,-0.7862548828125,-0.21697998046875,-0.5599365234375,0.36,0.7000000000000001,-0.21,0.039682302787084005,0.8850516870458937
1648845401.0537233,0.13427734375,-0.80010986328125,-0.20672607421875,-0.546875,1.57,0.26,-1.16,0.02881242087751411,0.8731672728306845
1648845401.1230159,0.1304931640625,-0.8050537109375,-0.20379638671875,-0.54156494140625,0.71,0.48,0.32,0.026294053169456932,0.8681019315130493
1648845401.1739767,0.12823486328125,-0.80572509765625,-0.20159912109375,-0.5419921875,-1.25,0.28,0.48,0.029376520298482794,0.867953287560593
1648845401.2369647,0.125732421875,-0.80364990234375,-0.20428466796875,-0.54461669921875,-0.6900000000000001,0.32,1.27,0.05102613963720086,0.8686273851433218
1648845401.296618,0.11871337890625,-0.80059814453125,-0.2056884765625,-0.5501708984375,-1.58,1.11,1.28,0.09238710412385785,0.868525313817769
1648845401.3579507,0.10675048828125,-0.7952880859375,-0.20166015625,-0.5616455078125,-3.18,0.84,1.1300000000000001,0.15174138501920537,0.8674222650325156
