PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:51:38 2022,,Fall Event Recorded?,True,,False Positive?,True,,
Time End,Fri Apr  1 16:51:47 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9318896101081702,,Mean Sway Velocity [m/s],,0.030495139654432117,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648846298.9807835,0.3677978515625,-0.46221923828125,-0.72857666015625,-0.34686279296875,-0.17,0.37,-0.23,0.30088974266923213,0.7616500860939306
1648846299.0480525,0.36932373046875,-0.46136474609375,-0.72747802734375,-0.3485107421875,0.04,0.31,-0.06,0.3048531269998144,0.7625595733005813
1648846299.1037667,0.373779296875,-0.45904541015625,-0.72576904296875,-0.35052490234375,0.26,0.19,-0.06,0.3091567360237173,0.7661089054884143
1648846299.1633534,0.3814697265625,-0.45452880859375,-0.72357177734375,-0.35260009765625,-0.03,0.59,0.54,0.31416299655665025,0.7718409793727521
1648846299.2106643,0.38958740234375,-0.4498291015625,-0.721923828125,-0.35321044921875,0.8300000000000001,0.46,0.52,0.3154686197685404,0.7782470921622766
1648846299.272564,0.40228271484375,-0.4439697265625,-0.7197265625,-0.350830078125,0.86,0.03,0.48,0.3050074135184068,0.790621208922709
1648846299.3340688,0.4168701171875,-0.43603515625,-0.71807861328125,-0.34710693359375,0.37,-0.45,0.32,0.29253966578850854,0.8039906413772285
1648846299.3950772,0.4381103515625,-0.41943359375,-0.720703125,-0.3358154296875,-0.19,-1.57,1.16,0.26835455199515085,0.8214379063833029
1648846299.441361,0.45843505859375,-0.39117431640625,-0.7315673828125,-0.31878662109375,1.57,-1.4000000000000001,0.49,0.2583708067351674,0.8303753905828537
1648846299.5053048,0.47998046875,-0.35662841796875,-0.74365234375,-0.29901123046875,1.1500000000000001,-0.91,0.63,0.25647640888427475,0.8371879916210745
1648846299.5704744,0.51397705078125,-0.3167724609375,-0.74725341796875,-0.2777099609375,-0.34,-2.33,0.03,0.2545027797367039,0.8530092336902664
1648846299.6352053,0.5440673828125,-0.27886962890625,-0.748779296875,-0.25592041015625,-1.1400000000000001,-0.89,-0.53,0.25992198534838795,0.8636553694444916
1648846299.6871455,0.57183837890625,-0.22833251953125,-0.754150390625,-0.22821044921875,-1.6600000000000001,-1.09,-0.87,0.30498101648000325,0.8582139710025996
1648846299.749092,0.59124755859375,-0.174072265625,-0.76190185546875,-0.1990966796875,2.39,-0.09,-2.61,0.3782066892161612,0.8335760155218545
1648846299.8101,0.61944580078125,-0.12335205078125,-0.755615234375,-0.17352294921875,0.26,1.1,-2.19,0.5030982756937354,0.775786271501072
1648846299.855732,0.6453857421875,-0.08831787109375,-0.74371337890625,-0.15020751953125,-1.75,0.05,-1.95,0.6272567906235147,0.68891144836458
1648846299.9023561,0.65045166015625,-0.05511474609375,-0.74560546875,-0.13385009765625,0.14,-0.8200000000000001,-0.53,0.6899970822508223,0.6266767971913605
1648846299.9640572,0.65228271484375,-0.02069091796875,-0.74871826171875,-0.11627197265625,-0.76,0.51,0.59,0.7225248759121635,0.5881960605950778
1648846300.0265784,0.6563720703125,0.0213623046875,-0.74920654296875,-0.085693359375,0.07,1.31,0.63,0.7365105019661746,0.5701862981317988
1648846300.0867074,0.6514892578125,0.07135009765625,-0.75384521484375,-0.046875,-0.01,-0.33,0.16,0.6988708060000578,0.6113585789814807
1648846300.1482682,0.6507568359375,0.11749267578125,-0.7501220703125,-0.001953125,-2.0300000000000002,1.25,-0.21,0.6698316566270209,0.6417112549803841
1648846300.2097285,0.6417236328125,0.15234375,-0.75067138671875,0.03875732421875,-1.81,0.66,-0.9,0.5828150796886002,0.7176465165946561
1648846300.2722251,0.62384033203125,0.19622802734375,-0.75103759765625,0.09088134765625,-1.1300000000000001,0.58,0.85,0.43832411895684303,0.8074226722162073
1648846300.3328216,0.60577392578125,0.239501953125,-0.74652099609375,0.1356201171875,1.16,1.7,0.67,0.33527100729097015,0.8499518382426039
1648846300.3942325,0.58984375,0.2677001953125,-0.74493408203125,0.15972900390625,5.12,0.45,2.45,0.27583913139337735,0.8652228601753601
1648846300.4556825,0.58404541015625,0.2855224609375,-0.740234375,0.171630859375,3.63,-1.46,2.04,0.27530288103511485,0.8639126451498255
1648846300.459649,0.58380126953125,0.29107666015625,-0.7369384765625,0.17730712890625,0.73,-1.2,1.97,0.275767129589097,0.8646762356092008
1648846300.5171876,0.5772705078125,0.3106689453125,-0.73199462890625,0.185546875,-1.83,-0.72,1.31,0.29326080859929404,0.8563963820439348
1648846300.6093462,0.5672607421875,0.33551025390625,-0.7274169921875,0.191162109375,-3.66,-1.67,2.06,0.3193939243714052,0.8416775296585239
1648846300.6712015,0.55499267578125,0.3714599609375,-0.71728515625,0.19866943359375,-1.96,-1.67,3.88,0.3615762336524467,0.8175428660934378
1648846300.717238,0.546142578125,0.392822265625,-0.712890625,0.19793701171875,2.68,-0.72,1.72,0.3864562447268614,0.7991431440907114
1648846300.7796469,0.52764892578125,0.41217041015625,-0.71441650390625,0.203369140625,8.55,-3.13,2.12,0.3490136623608095,0.8030539298868534
1648846300.8409567,0.5125732421875,0.4315185546875,-0.70947265625,0.2183837890625,2.92,-0.96,-1.69,0.3096684269280753,0.81151243893366
1648846300.904445,0.506103515625,0.45166015625,-0.69390869140625,0.24139404296875,-0.58,1.33,-0.12,0.2934932296064806,0.8206775492763767
1648846300.9639666,0.4986572265625,0.47625732421875,-0.677734375,0.25537109375,5.62,4.48,0.54,0.30699161987691126,0.8153599178204964
1648846301.0256333,0.503173828125,0.50506591796875,-0.6485595703125,0.2667236328125,6.96,2.56,2.32,0.39361728123247247,0.7858003161240195
1648846301.087206,0.512451171875,0.520751953125,-0.62225341796875,0.2811279296875,2.64,3.99,3.87,0.4712421217143886,0.7554492604573894
1648846301.1521204,0.51361083984375,0.53173828125,-0.60906982421875,0.28717041015625,-1.3900000000000001,-1.6500000000000001,3.62,0.505319358248066,0.7365154157729499
1648846301.2096565,0.5185546875,0.527587890625,-0.5924072265625,0.319091796875,-13.3,-1.55,0.44,0.5137727838222473,0.74718403883142
1648846301.2711606,0.51092529296875,0.53070068359375,-0.57965087890625,0.34832763671875,-4.76,-2.52,0.08,0.4761732676260022,0.7782372048811568
1648846301.38081,0.50360107421875,0.5484619140625,-0.56512451171875,0.35528564453125,14.21,7.32,1.98,0.49903905600410453,0.7623867652045154
