PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:51:10 2022,,Fall Event Recorded?,False,,False Positive?,False,,
Time End,Fri Apr  1 16:51:21 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.8763861816538542,,Mean Sway Velocity [m/s],,0.004391242548289296,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648846270.731804,-0.10504150390625,0.60711669921875,0.17608642578125,0.7677001953125,-0.03,0.02,-0.07,0.5440577777987424,-0.7413499968557484
1648846270.7936513,-0.10498046875,0.60626220703125,0.1767578125,0.76824951171875,-0.05,0.11,-0.09,0.544873338454139,-0.740396434002805
1648846270.8563783,-0.10455322265625,0.60687255859375,0.17645263671875,0.76788330078125,0.12,0.25,-0.02,0.5466424357088037,-0.739377106862235
1648846270.9186935,-0.10498046875,0.60882568359375,0.1759033203125,0.766357421875,0.32,-0.09,-0.15,0.5488169332856039,-0.7387325145245001
1648846270.9966886,-0.1060791015625,0.6114501953125,0.1793212890625,0.76336669921875,-0.2,-0.36,0.09,0.571016962235057,-0.7238538011339214
1648846271.0557716,-0.10491943359375,0.61328125,0.18597412109375,0.76043701171875,-0.13,0.01,0.26,0.6133727086405399,-0.6904815907494176
1648846271.1177604,-0.10400390625,0.615234375,0.1888427734375,0.75830078125,0.19,-0.26,0.0,0.6366330684294923,-0.6707388083667027
1648846271.178949,-0.10113525390625,0.61737060546875,0.18975830078125,0.7567138671875,0.29,0.15,-0.33,0.6568778075317789,-0.6522701148324778
1648846271.2259102,-0.09552001953125,0.62176513671875,0.189453125,0.75390625,0.0,-0.1,-0.76,0.6877374124069794,-0.6220536800532241
1648846271.2866116,-0.09014892578125,0.63104248046875,0.18756103515625,0.747314453125,0.09,0.12,-0.74,0.7330672324458745,-0.5728105540559588
1648846271.3484564,-0.08984375,0.64093017578125,0.18408203125,0.73974609375,-0.18,-0.29,-0.62,0.7676231057323195,-0.5301540330294564
1648846271.409812,-0.094482421875,0.65045166015625,0.183349609375,0.73095703125,0.24,0.53,0.25,0.8062233199899365,-0.4737302467488624
1648846271.471187,-0.09710693359375,0.65557861328125,0.18621826171875,0.725341796875,-0.08,0.14,0.41000000000000003,0.8403515374419961,-0.4129312867684953
1648846271.5174146,-0.0968017578125,0.6593017578125,0.19024658203125,0.720947265625,0.12,-0.37,0.5700000000000001,0.872387860871781,-0.34219760163660856
1648846271.5795937,-0.0972900390625,0.66314697265625,0.191650390625,0.7169189453125,0.4,0.1,0.27,0.8934318066533269,-0.28434900260349477
1648846271.6451573,-0.09490966796875,0.6700439453125,0.1915283203125,0.71087646484375,-0.12,0.7000000000000001,0.1,0.9208349990512287,-0.18017943421824728
1648846271.708254,-0.09283447265625,0.67724609375,0.1922607421875,0.7041015625,-0.07,0.11,0.61,0.9369874293891669,-0.05594816988558867
1648846271.7637272,-0.09405517578125,0.687255859375,0.19097900390625,0.69451904296875,0.43,0.0,0.35000000000000003,0.9309306637046408,0.11927346458053495
1648846271.824811,-0.09326171875,0.69696044921875,0.19268798828125,0.6844482421875,0.93,0.67,0.09,0.8882955663929433,0.30052223146784823
1648846271.8715575,-0.09014892578125,0.71197509765625,0.1937255859375,0.6689453125,2.0100000000000002,1.47,-0.09,0.7766302592342248,0.5206949582008524
