PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:51:57 2022,,Fall Event Recorded?,False,,False Positive?,False,,
Time End,Fri Apr  1 16:52:03 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9061166386475881,,Mean Sway Velocity [m/s],,0.006001249399904215,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648846317.6759698,-0.08209228515625,0.7742919921875,0.31109619140625,0.544921875,0.32,0.71,1.44,0.4458474789371424,0.7392569410724543
1648846317.7386532,-0.07342529296875,0.78057861328125,0.30438232421875,0.541015625,0.96,-0.08,1.69,0.4406821413428226,0.737082088079269
1648846317.7986338,-0.0626220703125,0.78515625,0.284912109375,0.5462646484375,0.08,0.53,1.19,0.44514071339234984,0.7384005991522185
1648846317.8633754,-0.0443115234375,0.78729248046875,0.25653076171875,0.55889892578125,0.04,-0.08,1.34,0.4735855664836783,0.7316543000574263
1648846317.9489124,-0.03021240234375,0.7857666015625,0.226806640625,0.5745849609375,-2.52,0.14,0.92,0.5008928371213041,0.7277157403304552
1648846317.9985647,-0.0074462890625,0.778076171875,0.1800537109375,0.601806640625,0.26,-0.75,-0.08,0.5604932044840917,0.7072091527025453
1648846318.0604782,0.0009765625,0.77105712890625,0.1495361328125,0.61895751953125,-0.98,1.19,-0.16,0.5856174519992607,0.7000219689708875
1648846318.1073737,0.02020263671875,0.76397705078125,0.117431640625,0.6341552734375,-1.22,0.62,-0.6,0.6365295484947252,0.6652223086485224
1648846318.1674554,0.03814697265625,0.76177978515625,0.09393310546875,0.639892578125,-0.12,0.29,-0.65,0.6640079866738888,0.6421309626496214
1648846318.240753,0.05670166015625,0.76019287109375,0.06732177734375,0.6436767578125,-2.0100000000000002,0.38,-0.56,0.6792274688505505,0.6290941621884568
1648846318.3526397,0.08892822265625,0.76239013671875,0.02935791015625,0.64031982421875,-2.91,0.66,-0.35000000000000003,0.6812490433802492,0.6271496189237702
1648846318.4142385,0.11651611328125,0.76312255859375,-0.0074462890625,0.6356201171875,-0.99,0.31,-0.03,0.6707747778230676,0.6381701519251363
1648846318.4838274,0.13922119140625,0.75677490234375,-0.0267333984375,0.63812255859375,0.38,-0.11,1.45,0.7217808428450595,0.5841063887412363
1648846318.5365145,0.15264892578125,0.7523193359375,-0.02880859375,0.6402587890625,1.67,0.66,-0.23,0.7716125754912937,0.5197220816822062
1648846318.5983214,0.16241455078125,0.75067138671875,-0.02490234375,0.639892578125,2.94,1.8,0.88,0.8030418074873068,0.4708544487090059
1648846318.670222,0.16162109375,0.7503662109375,-0.01934814453125,0.640625,5.23,4.22,2.7,0.8109775411153162,0.45734685376238415
1648846318.7294724,0.16009521484375,0.7420654296875,-0.01812744140625,0.65069580078125,3.7800000000000002,5.97,3.22,0.8474586751611386,0.39221891133143416
1648846318.7831666,0.15966796875,0.73394775390625,-0.03564453125,0.65924072265625,-1.29,2.4,0.37,0.8635727301625199,0.36032423451225476
1648846318.8442888,0.14691162109375,0.73321533203125,-0.05230712890625,0.661865234375,-9.02,-1.3,2.0,0.821808320037881,0.44722661875189734
