PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:52:08 2022,,Fall Event Recorded?,False,,False Positive?,False,,
Time End,Fri Apr  1 16:52:14 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.8678683970783978,,Mean Sway Velocity [m/s],,0.00978003934728099,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648846328.225317,-0.0958251953125,0.62664794921875,0.1910400390625,0.7493896484375,-0.3,0.03,-0.49,0.7145771552000042,-0.5939419503764982
1648846328.28749,-0.1014404296875,0.6336669921875,0.19732666015625,0.74114990234375,-0.13,0.2,-0.46,0.7594348312921835,-0.5403763182937121
1648846328.348409,-0.1029052734375,0.640869140625,0.2015380859375,0.7335205078125,0.24,0.29,-0.15,0.806953137131976,-0.4707135143960328
1648846328.4104903,-0.10406494140625,0.64678955078125,0.20513916015625,0.7271728515625,-0.2,0.05,-0.25,0.8450576889837905,-0.4019188770312901
1648846328.4712496,-0.10302734375,0.6549072265625,0.20654296875,0.7196044921875,-0.15,0.35000000000000003,0.73,0.8858732388341192,-0.3058261140762079
1648846328.5322065,-0.10174560546875,0.66259765625,0.2083740234375,0.712158203125,0.2,-0.24,0.6,0.917410022334654,-0.19588561287902026
1648846328.6409352,-0.09954833984375,0.67352294921875,0.20947265625,0.7017822265625,0.19,-0.11,0.44,0.9381741183999315,-0.028355051049249503
1648846328.7016602,-0.0916748046875,0.6959228515625,0.21514892578125,0.678955078125,2.58,0.24,-0.27,0.8797727798120052,0.32218459735044264
1648846328.7630944,-0.07257080078125,0.72552490234375,0.20880126953125,0.6517333984375,3.59,1.49,-0.8300000000000001,0.7191932369127169,0.5887697010749652
1648846328.854881,-0.056396484375,0.74041748046875,0.19598388671875,0.64044189453125,2.31,0.28,-0.9,0.6524195059786664,0.6549674475056181
1648846328.962952,-0.034912109375,0.7662353515625,0.1697998046875,0.61871337890625,1.75,0.98,0.39,0.5253060953490242,0.7468257427163001
1648846329.0241096,0.0030517578125,0.79315185546875,0.1343994140625,0.59405517578125,-1.36,1.6,0.74,0.4581387810806508,0.7714082179434086
1648846329.0859299,0.0269775390625,0.7998046875,0.1126708984375,0.58892822265625,-2.47,0.67,1.1400000000000001,0.4690729861544165,0.7610143808745393
