PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:34:04 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:34:17 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.911938752657411,,Mean Sway Velocity [m/s],,0.1558621151091954,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845244.1369631,-0.3084716796875,0.65533447265625,0.31451416015625,0.613525390625,-0.19,0.17,0.07,-0.2889093413506861,0.8914800846449096
1648845244.1899343,-0.30712890625,0.6605224609375,0.312744140625,0.60955810546875,0.27,0.28,0.2,-0.3168493328776853,0.8812618874168593
1648845244.3449275,-0.30841064453125,0.66510009765625,0.31097412109375,0.6048583984375,-0.02,-0.01,0.14,-0.3752571426965521,0.8573241990634222
1648845244.4785893,-0.3145751953125,0.6824951171875,0.3055419921875,0.584716796875,0.14,-0.02,0.3,-0.4884164280165815,0.793892703007801
1648845244.482543,-0.31561279296875,0.68572998046875,0.30419921875,0.58111572265625,-0.04,0.15,0.39,-0.5015826223083726,0.7847330110426752
1648845244.6116931,-0.31427001953125,0.70916748046875,0.2967529296875,0.55694580078125,0.36,0.28,1.17,-0.501922648834528,0.774532472031286
1648845244.7472792,-0.30072021484375,0.74627685546875,0.2789306640625,0.5242919921875,4.03,-0.88,-1.79,-0.47119793607317045,0.7715133649397351
1648845244.8177404,-0.28363037109375,0.77960205078125,0.273681640625,0.4866943359375,1.3,0.21,-0.21,-0.4070731064425872,0.7731767029305798
1648845244.9483087,-0.26788330078125,0.79644775390625,0.26470947265625,0.47314453125,1.59,1.9000000000000001,-1.83,-0.3716119793363774,0.7719167754385067
1648845245.0049825,-0.23809814453125,0.81524658203125,0.249755859375,0.465087890625,0.33,1.1500000000000001,-0.16,-0.3048617085482606,0.778831096566446
1648845245.1004612,-0.21343994140625,0.82421875,0.23297119140625,0.46990966796875,-2.02,2.29,3.0100000000000002,-0.2567912122713669,0.7891782051757018
1648845245.157504,-0.1796875,0.83807373046875,0.1787109375,0.48309326171875,-1.86,2.06,2.6,-0.24824416588957396,0.7911667594200872
1648845245.2398412,-0.16729736328125,0.83721923828125,0.13775634765625,0.50213623046875,0.32,4.03,1.29,-0.2880422782304893,0.7923522042959071
1648845245.2963839,-0.13922119140625,0.8218994140625,0.06732177734375,0.54827880859375,-0.66,5.68,-2.0100000000000002,-0.37123669293524714,0.7931981124411689
1648845245.4055986,-0.1103515625,0.8189697265625,0.024169921875,0.5626220703125,0.14,0.1,-5.9,-0.383949715203328,0.7939400002531143
1648845245.465771,-0.07623291015625,0.80731201171875,-0.03204345703125,0.58428955078125,-0.41000000000000003,-1.45,-1.42,-0.4365551173885588,0.7799062293753763
