PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:37:02 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:37:14 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9219709188174957,,Mean Sway Velocity [m/s],,0.013604845795782758,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845422.4583435,0.20428466796875,-0.62939453125,-0.263916015625,-0.7017822265625,0.0,0.4,0.0,0.803434260441348,-0.48118308630099516
1648845422.5198467,0.1981201171875,-0.63092041015625,-0.260009765625,-0.70361328125,0.2,0.53,0.08,0.8076038499384025,-0.4740668973204473
1648845422.5813496,0.1883544921875,-0.63397216796875,-0.25347900390625,-0.7059326171875,-0.1,0.58,-0.12,0.8161385531172419,-0.45935366415899304
1648845422.6428533,0.17535400390625,-0.636962890625,-0.24365234375,-0.7100830078125,-0.07,-0.21,-0.46,0.8156290314954653,-0.4600873002389348
1648845422.7053492,0.16412353515625,-0.63934326171875,-0.2310791015625,-0.71478271484375,0.12,0.16,0.19,0.794844309114864,-0.49429252928029405
1648845422.7658923,0.1483154296875,-0.641845703125,-0.2197265625,-0.71954345703125,-0.2,0.09,0.02,0.7935461277539486,-0.4958105070789676
1648845422.8317897,0.12689208984375,-0.6466064453125,-0.20086669921875,-0.72491455078125,0.43,-0.68,0.04,0.7855916128635523,-0.5079150174322392
1648845422.8890796,0.107421875,-0.65069580078125,-0.1668701171875,-0.73297119140625,0.22,-0.07,-0.39,0.6872396516543571,-0.632867143753905
1648845422.9504247,0.0941162109375,-0.65338134765625,-0.1513671875,-0.7357177734375,-0.15,-0.17,-0.09,0.6617988084092317,-0.6589511859754104
