PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:30:34 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:30:51 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9020930767937188,,Mean Sway Velocity [m/s],,0.00750746803013682,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845034.7962806,0.38922119140625,-0.58917236328125,-0.3140869140625,-0.6346435546875,0.16,-0.11,-0.28,-0.45413461397403293,-0.8152288116406738
1648845034.877258,0.3897705078125,-0.5916748046875,-0.31610107421875,-0.63092041015625,0.09,0.06,-0.23,-0.49678608900685073,-0.7908840707861193
1648845034.9349453,0.3916015625,-0.59173583984375,-0.31768798828125,-0.62896728515625,-0.12,0.34,0.28,-0.5127187820240006,-0.7809389237883694
1648845035.0029685,0.39208984375,-0.5924072265625,-0.31671142578125,-0.62847900390625,0.15,0.17,0.21,-0.5288128384879002,-0.7701134679208804
1648845035.0675375,0.39453125,-0.5926513671875,-0.31561279296875,-0.6273193359375,0.24,0.26,-0.11,-0.5528380972376261,-0.753021499667008
1648845035.1203954,0.39617919921875,-0.59759521484375,-0.3133544921875,-0.62261962890625,0.05,-0.02,-0.19,-0.6402702376727795,-0.6811975798953841
1648845035.1804512,0.39593505859375,-0.607421875,-0.3101806640625,-0.6148681640625,0.5,-0.25,-0.18,-0.7691390694754319,-0.5341236627194486
1648845035.2421634,0.396240234375,-0.620849609375,-0.30731201171875,-0.6025390625,-0.36,0.51,0.48,-0.8913399567258913,-0.2918014938336837
1648845035.3036032,0.3951416015625,-0.63311767578125,-0.306884765625,-0.59063720703125,-0.07,0.27,0.71,-0.9362460958651068,-0.06709528942490048
1648845035.3643198,0.39251708984375,-0.64666748046875,-0.30731201171875,-0.57733154296875,0.19,0.53,0.68,-0.9261436332697667,0.1511120043115292
1648845035.426933,0.39068603515625,-0.6605224609375,-0.308349609375,-0.56219482421875,0.19,0.14,0.3,-0.8804378362881224,0.3203511336205263
1648845035.4968483,0.3895263671875,-0.6778564453125,-0.30706787109375,-0.542724609375,2.24,0.5700000000000001,0.56,-0.8218828291332474,0.4422328524664977
1648845035.557769,0.37896728515625,-0.70672607421875,-0.296875,-0.5184326171875,4.51,-0.44,-1.77,-0.7440919447317083,0.5480770970369835
1648845035.6571887,0.36798095703125,-0.7259521484375,-0.290283203125,-0.50335693359375,1.75,-0.67,-0.2,-0.6911072635122967,0.5999790514255753
1648845035.6611493,0.3621826171875,-0.7335205078125,-0.28558349609375,-0.49920654296875,0.16,-0.16,0.1,-0.6732228551605195,0.6143854195591916
1648845035.7043023,0.331787109375,-0.759033203125,-0.28253173828125,-0.483642578125,0.54,1.32,-2.58,-0.5576140599462307,0.6959592978919212
1648845035.7653673,0.3082275390625,-0.778076171875,-0.28228759765625,-0.46893310546875,0.04,1.6500000000000001,-0.68,-0.47126957392228186,0.7336736866422886
1648845035.873183,0.28729248046875,-0.79254150390625,-0.27618408203125,-0.4615478515625,0.86,2.11,0.49,-0.4132021436724155,0.7503706048887772
1648845035.9193106,0.24273681640625,-0.81640625,-0.24761962890625,-0.46173095703125,-1.7,0.99,1.77,-0.3241199722488545,0.77006719818465
1648845035.9816494,0.19873046875,-0.82806396484375,-0.227294921875,-0.47235107421875,-0.04,0.81,1.3800000000000001,-0.21988973562602243,0.7963207250782761
1648845036.0425642,0.16033935546875,-0.8333740234375,-0.20147705078125,-0.4891357421875,0.8200000000000001,0.92,1.71,-0.13852992094480915,0.8168868204338486
1648845036.1034665,0.13250732421875,-0.82769775390625,-0.169677734375,-0.51824951171875,-0.71,0.54,1.41,-0.09493454409397506,0.8431732372497234
