PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:47:37 2022,,Fall Event Recorded?,False,,False Positive?,False,,
Time End,Fri Apr  1 16:47:48 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.857976738372974,,Mean Sway Velocity [m/s],,0.0022144079921231144,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648846057.5554583,-0.127685546875,0.620849609375,0.22369384765625,0.74041748046875,0.13,0.06,-0.19,0.7520089856775598,-0.5486125264046936
1648846057.6175783,-0.12677001953125,0.62042236328125,0.22314453125,0.7410888671875,-0.21,0.1,-0.06,0.7499385418162283,-0.5510979082287194
1648846057.6705956,-0.12384033203125,0.62109375,0.22235107421875,0.74127197265625,0.16,0.24,0.03,0.7555520128326717,-0.5436032338522605
1648846057.7250838,-0.1209716796875,0.62176513671875,0.21978759765625,0.741943359375,0.03,0.18,-0.23,0.7541731284796107,-0.5453814856615616
1648846057.7866654,-0.11700439453125,0.62158203125,0.2156982421875,0.743896484375,0.05,0.34,-0.07,0.7456104486551279,-0.5561203879234485
1648846057.8492148,-0.11322021484375,0.6217041015625,0.21099853515625,0.74578857421875,-0.03,0.36,-0.06,0.7354411250859783,-0.5688453155545973
1648846057.9098406,-0.107421875,0.62322998046875,0.202880859375,0.74755859375,-0.12,0.15,0.05,0.7219030433798455,-0.5851934185841811
1648846057.9727523,-0.10211181640625,0.6251220703125,0.1934814453125,0.749267578125,-0.06,0.04,-0.03,0.7029619886178862,-0.6073549416624141
1648846058.0325613,-0.094970703125,0.62677001953125,0.1845703125,0.75103759765625,0.13,-0.34,-0.18,0.6894156664520205,-0.622083525925927
1648846058.0941656,-0.08709716796875,0.6278076171875,0.1748046875,0.75347900390625,-0.1,-0.15,-0.06,0.6712265203655925,-0.6408041128072821
1648846058.1558464,-0.0775146484375,0.62908935546875,0.163818359375,0.755859375,0.38,-0.4,-0.24,0.653563728337498,-0.6578406286876959
1648846058.2375824,-0.06951904296875,0.6318359375,0.15692138671875,0.755859375,-0.19,-0.31,-0.18,0.6572438270833247,-0.6547671132296936
1648846058.2935922,-0.06549072265625,0.6456298828125,0.14691162109375,0.74652099609375,0.72,-0.12,0.05,0.6929494621747551,-0.6225738354107598
1648846058.3543284,-0.07098388671875,0.65289306640625,0.14154052734375,0.74072265625,0.12,1.47,-0.8300000000000001,0.6914938423950039,-0.6267606640029898
1648846058.4165268,-0.07421875,0.66461181640625,0.142578125,0.729736328125,0.21,0.5,-0.84,0.7710932752221693,-0.5306331138754428
1648846058.5621235,-0.07147216796875,0.67437744140625,0.13800048828125,0.72186279296875,0.04,-0.25,-0.06,0.83650469668218,-0.4231090097826379
1648846058.6163487,-0.07275390625,0.68536376953125,0.12786865234375,0.71319580078125,-0.25,-1.54,0.37,0.8895180095530433,-0.29872546256397825
1648846058.6645792,-0.081298828125,0.6925048828125,0.13677978515625,0.70367431640625,0.96,0.73,0.88,0.9378281295311653,-0.04089645769636081
1648846058.7251105,-0.08319091796875,0.7044677734375,0.1378173828125,0.69122314453125,0.62,0.8200000000000001,0.52,0.8664189035242407,0.3599922157040143
1648846058.7855692,-0.08941650390625,0.71917724609375,0.14105224609375,0.67449951171875,0.46,0.66,0.43,0.6001696517506598,0.7184606770241814
1648846058.8476958,-0.09033203125,0.72943115234375,0.14105224609375,0.6632080078125,2.07,1.18,-0.22,0.44089219833295956,0.8229064790714543
1648846058.9314919,-0.0811767578125,0.73797607421875,0.14703369140625,0.653564453125,2.12,0.84,-0.74,0.4500082424122865,0.8143081859445388
1648846058.9858205,-0.0623779296875,0.75274658203125,0.14801025390625,0.638427734375,2.7,0.15,-0.8200000000000001,0.4441033265502784,0.8101322035777537
1648846059.077801,-0.047119140625,0.77447509765625,0.13714599609375,0.61578369140625,0.67,0.43,-0.15,0.3519016757168002,0.8412935151044398
1648846059.077801,-0.0374755859375,0.78192138671875,0.1307373046875,0.6083984375,0.27,1.6,0.06,0.34187570508337894,0.8403381363271125
1648846059.1247182,-0.014892578125,0.7913818359375,0.1239013671875,0.59844970703125,0.31,-0.19,-0.3,0.378264828045272,0.8169135958870213
1648846059.1860306,-0.00146484375,0.8018798828125,0.11688232421875,0.5859375,-0.02,0.38,-0.29,0.37053455479848574,0.8107531156008684
1648846059.2471764,0.0216064453125,0.81439208984375,0.1064453125,0.57000732421875,-0.62,1.52,0.41000000000000003,0.38396968480304455,0.7913017462245573
1648846059.302284,0.04254150390625,0.82073974609375,0.09161376953125,0.56231689453125,-1.52,0.93,0.68,0.402690116469532,0.7760554167215765
1648846059.3549407,0.06402587890625,0.82489013671875,0.0772705078125,0.55633544921875,-1.21,-1.57,1.05,0.42909846865741297,0.7580153549013791
1648846059.4634151,0.07928466796875,0.82904052734375,0.0673828125,0.5494384765625,-0.64,0.18,2.07,0.4432146076259016,0.7449936632307701
1648846059.5388958,0.10711669921875,0.82720947265625,0.037841796875,0.55029296875,-0.22,1.29,1.96,0.47656163550948893,0.7297142388233036
1648846059.5428712,0.11529541015625,0.82177734375,0.02508544921875,0.5574951171875,-0.47000000000000003,1.59,2.34,0.493529593720427,0.7270159019730206
1648846059.5937166,0.13214111328125,0.806396484375,-0.00634765625,0.576416015625,-1.33,1.45,1.41,0.5302998937726686,0.7213572284833263
1648846059.6554508,0.14874267578125,0.78826904296875,-0.03851318359375,0.59588623046875,-1.57,2.94,1.6400000000000001,0.5716761825799053,0.7079915855317617
1648846059.7112687,0.1707763671875,0.76885986328125,-0.07403564453125,0.61175537109375,-1.9000000000000001,3.2600000000000002,-1.6400000000000001,0.6242081713100218,0.6772507798168735
1648846059.7719665,0.18359375,0.76605224609375,-0.10333251953125,0.6072998046875,1.02,2.23,-1.58,0.5859137296170958,0.7102093682985415
1648846059.8332443,0.20928955078125,0.75726318359375,-0.13409423828125,0.60394287109375,-0.6900000000000001,-2.19,-3.29,0.6069176312499969,0.695182724590966
1648846059.8792694,0.22113037109375,0.7481689453125,-0.16168212890625,0.6043701171875,0.0,0.11,-2.18,0.5813520499382787,0.7192246498642747
1648846059.9710333,0.23822021484375,0.7357177734375,-0.20172119140625,0.60101318359375,0.31,0.92,-1.21,0.5163955475757007,0.7685451889168573
1648846060.0324376,0.26788330078125,0.7159423828125,-0.252197265625,0.5933837890625,-1.31,0.38,-1.29,0.45449007608922587,0.8088321486998434
1648846060.1001663,0.289306640625,0.70391845703125,-0.2869873046875,0.581787109375,-0.47000000000000003,1.03,-0.97,0.40015431915913324,0.8364935134541384
1648846060.156383,0.315673828125,0.6868896484375,-0.32806396484375,0.56646728515625,-0.5,0.68,-0.43,0.3411418170438117,0.8616673668333149
1648846060.2175412,0.34478759765625,0.6658935546875,-0.36834716796875,0.54962158203125,-0.52,0.37,0.4,0.30477855023973066,0.8753927032651477
1648846060.277413,0.37469482421875,0.64276123046875,-0.404296875,0.531982421875,-0.15,0.09,1.04,0.29921892520731325,0.8780228599059313
1648846060.3521664,0.4022216796875,0.61810302734375,-0.4354248046875,0.51629638671875,-1.31,0.54,0.72,0.29596971096495855,0.8805833183038225
1648846060.4028594,0.43157958984375,0.5963134765625,-0.46929931640625,0.48779296875,2.74,2.17,-0.8200000000000001,0.32966229607754627,0.8673302480780776
1648846060.4613695,0.443115234375,0.5855712890625,-0.49365234375,0.46588134765625,1.03,1.43,-1.18,0.30261995181109835,0.8735549087513655
1648846060.5233612,0.46624755859375,0.5672607421875,-0.52020263671875,0.43609619140625,-2.23,3.17,-1.08,0.3539510582826297,0.8518729294361768
1648846060.584205,0.49560546875,0.54278564453125,-0.5467529296875,0.40106201171875,-0.99,1.55,-1.24,0.44063022235466154,0.8100597055678268
1648846060.6300707,0.52117919921875,0.5135498046875,-0.5770263671875,0.3629150390625,1.62,-0.15,-0.36,0.4843866031131015,0.783333986793478
