PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:41:05 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:41:20 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.8997126250526173,,Mean Sway Velocity [m/s],,0.001957182968800513,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845665.7955232,-0.079345703125,0.676025390625,0.1474609375,0.71759033203125,0.08,-0.02,0.09,0.8694111560066987,-0.3516355259089185
1648845665.8569686,-0.079345703125,0.676025390625,0.1474609375,0.71759033203125,0.09,-0.03,0.12,0.8694111560066987,-0.3516355259089185
1648845665.9178042,-0.079345703125,0.67608642578125,0.1474609375,0.717529296875,0.25,-0.17,0.25,0.8698685042321518,-0.35050801303818163
1648845665.9836593,-0.07806396484375,0.67669677734375,0.14776611328125,0.717041015625,-1.69,-0.05,-0.03,0.8771630132659908,-0.3320671869255631
1648845666.0579898,-0.0770263671875,0.689453125,0.14678955078125,0.70513916015625,2.33,0.07,0.1,0.9369271095227465,-0.057901508264813266
1648845666.117881,-0.0782470703125,0.70062255859375,0.14996337890625,0.6932373046875,-0.16,0.6,0.42,0.9060011550552713,0.24450082587350092
1648845666.1710515,-0.07305908203125,0.7039794921875,0.162353515625,0.68756103515625,-1.05,-0.54,0.31,0.8819843158435178,0.31872583814558875
1648845666.2256236,-0.07440185546875,0.7093505859375,0.169189453125,0.68017578125,-0.07,0.15,0.9,0.8359788251798016,0.42269366151178456
1648845666.2900941,-0.07464599609375,0.72222900390625,0.17431640625,0.6651611328125,0.52,0.1,0.62,0.7194310819982287,0.5950199162155453
1648845666.3493936,-0.0748291015625,0.74005126953125,0.18096923828125,0.6434326171875,1.48,0.45,0.26,0.5677207056899634,0.7321848779163513
1648845666.4113326,-0.07281494140625,0.75726318359375,0.18310546875,0.6226806640625,1.28,0.66,-0.28,0.45262415670667105,0.7974660234425017
1648845666.4719465,-0.0697021484375,0.775634765625,0.18914794921875,0.59808349609375,2.34,0.53,-0.43,0.3706603097927165,0.8228645472475797
1648845666.5339322,-0.06072998046875,0.79302978515625,0.19439697265625,0.57415771484375,2.73,-0.05,-0.67,0.3339967719164998,0.8195912307425747
1648845666.5959654,-0.04998779296875,0.8067626953125,0.1927490234375,0.5562744140625,1.02,0.36,-0.37,0.3146015969655109,0.8108424021639328
1648845666.6564713,-0.03289794921875,0.82220458984375,0.18988037109375,0.53558349609375,-0.29,1.68,0.21,0.3116709767324779,0.7908829648098761
1648845666.7275836,-0.0125732421875,0.83087158203125,0.18634033203125,0.52423095703125,-0.73,1.3800000000000001,0.58,0.3392949862943371,0.766545891368315
1648845666.779455,0.015380859375,0.83978271484375,0.18389892578125,0.5106201171875,0.01,0.49,0.84,0.38297649977706044,0.7301437951605416
1648845666.8412168,0.041259765625,0.84295654296875,0.1788330078125,0.5057373046875,0.15,1.37,1.19,0.4306433347807536,0.6988544281961383
1648845666.9340863,0.06292724609375,0.84033203125,0.16571044921875,0.51226806640625,-1.1500000000000001,0.75,1.72,0.4768180535517198,0.6792725876719212
1648845666.9340863,0.073486328125,0.8389892578125,0.15533447265625,0.51629638671875,-1.11,-0.18,1.47,0.4958187328913735,0.6723197187334665
1648845666.9958863,0.09075927734375,0.8370361328125,0.13165283203125,0.52325439453125,-0.13,0.53,0.91,0.5195621769468766,0.66613464936623
1648845667.0422535,0.10577392578125,0.83203125,0.1043701171875,0.534423828125,0.34,-0.06,0.47000000000000003,0.5422124073019958,0.6645096364900327
1648845667.1500316,0.12353515625,0.8272705078125,0.0638427734375,0.5443115234375,0.34,0.32,-0.16,0.551805442772631,0.6718982620502987
1648845667.2156017,0.1529541015625,0.82574462890625,-0.00775146484375,0.54290771484375,0.31,-0.63,-1.1300000000000001,0.523198158541129,0.7006444082961363
1648845667.278596,0.18017578125,0.81207275390625,-0.0814208984375,0.54901123046875,-1.85,0.13,0.1,0.48983128126306386,0.7374941524176267
1648845667.3342872,0.19488525390625,0.802734375,-0.115966796875,0.55157470703125,-1.12,-0.24,-0.4,0.47461512562819,0.7537802056348591
1648845667.4429517,0.21142578125,0.79290771484375,-0.14483642578125,0.55279541015625,0.03,-0.92,-0.78,0.4739790527271309,0.7598902102494478
1648845667.5039673,0.23126220703125,0.78131103515625,-0.1846923828125,0.549560546875,0.12,-0.39,-0.1,0.451070960618616,0.7772701083482122
1648845667.5667627,0.24017333984375,0.770263671875,-0.2156982421875,0.54998779296875,-1.4000000000000001,-0.68,0.4,0.40248257586208275,0.8063701522997864
1648845667.6264946,0.24395751953125,0.7677001953125,-0.23126220703125,0.5455322265625,0.63,-0.67,0.45,0.36923684929246353,0.820247937120949
1648845667.7211177,0.248779296875,0.76171875,-0.25128173828125,0.54290771484375,0.48,0.41000000000000003,1.42,0.3259174808421611,0.8381377263770431
1648845667.7831202,0.2679443359375,0.736328125,-0.27392578125,0.55767822265625,-0.6,0.91,0.85,0.333401620389792,0.8494615927758846
1648845667.843327,0.28668212890625,0.72857666015625,-0.29071044921875,0.54998779296875,2.32,-0.62,-2.7800000000000002,0.36695195199030334,0.8364320770245711
1648845667.9078555,0.29022216796875,0.72723388671875,-0.3038330078125,0.542724609375,-1.3800000000000001,2.02,-0.07,0.3340894086716234,0.8471594785976998
1648845667.975144,0.3099365234375,0.71405029296875,-0.31463623046875,0.543212890625,-3.11,1.46,-1.27,0.3943477329207521,0.8269618649723688
