PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:34:25 2022,,Fall Event Recorded?,True,,False Positive?,False,,
Time End,Fri Apr  1 16:34:39 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.8980411249928535,,Mean Sway Velocity [m/s],,0.01555942054038459,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845266.004465,-0.22930908203125,0.68707275390625,0.2586669921875,0.63909912109375,-0.61,0.22,0.01,0.1833461689651992,0.917704271718446
1648845266.0667176,-0.23114013671875,0.69024658203125,0.26715087890625,0.6314697265625,0.59,0.04,-0.77,0.17650090006520058,0.917555322553696
1648845266.1742005,-0.24072265625,0.68994140625,0.28424072265625,0.62066650390625,0.14,0.4,0.37,0.16797010169440588,0.9173438817998286
1648845266.2354777,-0.2540283203125,0.677734375,0.286376953125,0.6278076171875,-0.34,0.34,0.8200000000000001,0.1703206190753999,0.9198485656217436
1648845266.2970994,-0.2554931640625,0.67120361328125,0.28515625,0.63470458984375,-0.2,0.56,0.46,0.26833920542042866,0.8974830687002879
1648845266.3666787,-0.24517822265625,0.66925048828125,0.28466796875,0.64105224609375,0.1,0.46,0.22,0.5037148008360042,0.7902174063179999
1648845266.4202747,-0.23773193359375,0.67474365234375,0.275634765625,0.64202880859375,0.44,-0.29,-0.12,0.4392645512221548,0.8274576588954164
1648845266.5058696,-0.22467041015625,0.68231201171875,0.26226806640625,0.64434814453125,-0.6900000000000001,0.44,0.37,0.3902664609458242,0.8512728097019565
1648845266.55796,-0.21356201171875,0.69232177734375,0.25518798828125,0.6402587890625,0.01,0.32,0.38,0.3096770461512374,0.8821690599031143
1648845266.618958,-0.20538330078125,0.70440673828125,0.24737548828125,0.6328125,-0.01,-0.13,0.35000000000000003,0.19016048800516686,0.9129096217598176
1648845266.685034,-0.20050048828125,0.71441650390625,0.240966796875,0.62554931640625,0.07,-0.23,0.34,0.10214684079342755,0.9241874047913011
1648845266.7412405,-0.19586181640625,0.72784423828125,0.23553466796875,0.613525390625,-0.26,0.01,0.78,0.021466917257772482,0.9247103959942496
1648845266.8027341,-0.1920166015625,0.7401123046875,0.233642578125,0.60064697265625,0.99,-0.24,0.44,-0.01629576266416917,0.9186678634144677
1648845266.863708,-0.19281005859375,0.75244140625,0.2314453125,0.58575439453125,-0.04,0.19,0.9400000000000001,-0.0743146458279405,0.9083642995063295
1648845266.95636,-0.19207763671875,0.76361083984375,0.22698974609375,0.57318115234375,0.36,0.27,0.0,-0.11467523885837554,0.8967902808180132
1648845267.01706,-0.200927734375,0.7869873046875,0.216796875,0.54156494140625,2.74,1.5,-1.12,-0.2231897020626185,0.8566356165199759
