PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:46:25 2022,,Fall Event Recorded?,False,,False Positive?,False,,
Time End,Fri Apr  1 16:46:38 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9331088660561747,,Mean Sway Velocity [m/s],,0.023302573951823637,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845985.1146162,0.045166015625,-0.6307373046875,-0.16876220703125,-0.75604248046875,0.03,-0.04,0.03,0.7533246261707581,-0.542609591751679
1648845985.1760082,0.045166015625,-0.6307373046875,-0.16876220703125,-0.75604248046875,0.08,-0.01,0.02,0.7533246261707581,-0.542609591751679
1648845985.239325,0.04522705078125,-0.63055419921875,-0.16876220703125,-0.7562255859375,0.1,0.0,0.02,0.7524311478546014,-0.5438085266800644
1648845985.3025923,0.04571533203125,-0.6302490234375,-0.16802978515625,-0.756591796875,0.0,0.02,-0.06,0.7480028053448123,-0.5495381620444133
1648845985.3597252,0.0458984375,-0.62957763671875,-0.1666259765625,-0.7574462890625,0.07,0.09,0.09,0.7403340767778247,-0.5591966091970447
1648845985.467357,0.04498291015625,-0.6280517578125,-0.1649169921875,-0.7591552734375,-0.14,0.23,0.04,0.7300721352747735,-0.5713786646053813
1648845985.5287552,0.04150390625,-0.62945556640625,-0.16265869140625,-0.75872802734375,0.04,-0.3,0.07,0.7347737156897708,-0.5659174685371664
1648845985.5902114,0.04083251953125,-0.63494873046875,-0.15740966796875,-0.7552490234375,-0.64,0.19,0.36,0.7418665796696096,-0.5589962678958388
1648845985.5902114,0.0406494140625,-0.63873291015625,-0.15447998046875,-0.75262451171875,-0.11,-0.28,0.12,0.7493090478657793,-0.5506436852481658
1648845985.6824672,0.041748046875,-0.6492919921875,-0.15203857421875,-0.7440185546875,0.65,-0.28,-0.3,0.7895591246861091,-0.49694727862996046
1648845985.7471547,0.04736328125,-0.6575927734375,-0.1602783203125,-0.734619140625,-0.33,0.15,0.37,0.8450164062240774,-0.4011772223204084
1648845985.806474,0.0531005859375,-0.6614990234375,-0.16632080078125,-0.7293701171875,-0.23,0.23,-0.06,0.8705223877296775,-0.34516925869962095
1648845985.8672223,0.0567626953125,-0.66650390625,-0.16839599609375,-0.7239990234375,0.72,-0.5700000000000001,0.26,0.8924645277338966,-0.2862924523734937
1648845985.9133503,0.0616455078125,-0.67529296875,-0.16552734375,-0.716064453125,-0.02,-0.11,1.16,0.9176127365064659,-0.19519384394978195
1648845985.9751723,0.0621337890625,-0.6861572265625,-0.1610107421875,-0.70672607421875,-0.21,0.68,1.27,0.9377400445747467,-0.04295511086511902
1648845986.0351105,0.0556640625,-0.69879150390625,-0.1585693359375,-0.6953125,0.34,0.47000000000000003,0.51,0.9224614585694934,0.17200218185096416
1648845986.0872858,0.04925537109375,-0.71368408203125,-0.16253662109375,-0.6795654296875,2.24,0.59,-0.44,0.8479137459672874,0.39707418064840233
1648845986.1450036,0.04339599609375,-0.72650146484375,-0.1663818359375,-0.66534423828125,1.97,1.07,-0.52,0.768867823121066,0.5284240684135187
1648845986.2062552,0.03436279296875,-0.7396240234375,-0.16705322265625,-0.65106201171875,2.24,0.42,-0.14,0.6980134080962644,0.6116705296982403
1648845986.2675722,0.0267333984375,-0.75177001953125,-0.1639404296875,-0.63818359375,1.84,0.08,-0.31,0.6350238396597232,0.6693912649162069
1648845986.3294494,0.021728515625,-0.7626953125,-0.16302490234375,-0.62548828125,0.77,0.86,-0.17,0.5812624341176101,0.7084646851788874
1648845986.3945987,0.0135498046875,-0.7725830078125,-0.15826416015625,-0.61468505859375,1.03,0.79,-0.1,0.5443436947898695,0.7296049374030498
1648845986.4613073,6.103515625e-05,-0.7816162109375,-0.15325927734375,-0.60467529296875,0.4,0.45,0.05,0.5327206270440386,0.7305943085844515
1648845986.5140784,-0.01715087890625,-0.79193115234375,-0.15545654296875,-0.5902099609375,1.07,1.43,0.9500000000000001,0.5362189469876121,0.7161119911576231
1648845986.5761845,-0.0362548828125,-0.79229736328125,-0.16265869140625,-0.5869140625,-0.31,1.11,1.22,0.5887677990180596,0.6712933814309526
1648845986.6372652,-0.05908203125,-0.7825927734375,-0.1578369140625,-0.5992431640625,-2.94,0.4,1.06,0.671848423655537,0.6026052227849543
1648845986.6998084,-0.09075927734375,-0.77740478515625,-0.1361083984375,-0.60736083984375,-0.73,-0.4,0.56,0.7322970641140263,0.5400679257503312
1648845986.7595165,-0.12078857421875,-0.77508544921875,-0.11175537109375,-0.61004638671875,-1.51,-1.25,0.17,0.7690165860115461,0.494503461600088
1648845986.8350859,-0.144287109375,-0.77215576171875,-0.0853271484375,-0.6129150390625,-1.4000000000000001,-0.9400000000000001,0.7000000000000001,0.7933908755266029,0.4624760982544213
1648845986.883129,-0.1602783203125,-0.77056884765625,-0.06085205078125,-0.61383056640625,-0.6,-0.92,0.85,0.8027048030069391,0.45079795902439357
1648845986.9307408,-0.174072265625,-0.76708984375,-0.03363037109375,-0.61651611328125,-0.74,-0.26,1.26,0.8117042658714533,0.4403432231114901
1648845986.9922884,-0.18463134765625,-0.76275634765625,-0.00958251953125,-0.61968994140625,-0.27,1.72,1.28,0.8197126680575546,0.43076590096574296
1648845987.0529003,-0.1959228515625,-0.75958251953125,0.02142333984375,-0.619873046875,0.1,1.69,1.56,0.8151910601122828,0.4422439301212409
1648845987.1150715,-0.2081298828125,-0.7532958984375,0.0517578125,-0.6217041015625,-0.97,2.62,1.48,0.8179453686954378,0.4412489349648321
1648845987.1811466,-0.22119140625,-0.755126953125,0.078857421875,-0.612060546875,1.8,1.83,1.71,0.7892897049563091,0.4873643219079681
1648845987.2389977,-0.23992919921875,-0.7523193359375,0.095947265625,-0.60595703125,-1.29,0.01,-2.11,0.7996287889598968,0.4708320937876935
1648845987.299794,-0.24542236328125,-0.753173828125,0.1116943359375,-0.5999755859375,-0.63,-2.12,-2.47,0.7772709233465824,0.5044487186112832
