PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:45:13 2022,,Fall Event Recorded?,False,,False Positive?,False,,
Time End,Fri Apr  1 16:45:24 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.8717237713782406,,Mean Sway Velocity [m/s],,0.005316496076719606,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648845913.6935556,0.091064453125,-0.6632080078125,-0.19775390625,-0.716064453125,0.06,-0.03,0.05,0.9086671500238471,-0.23213446505310192
1648845913.7391996,0.09112548828125,-0.6632080078125,-0.19769287109375,-0.71612548828125,0.05,-0.07,0.04,0.9085167762230028,-0.23298426492806576
1648845913.8005853,0.0911865234375,-0.66314697265625,-0.19757080078125,-0.7161865234375,0.04,-0.09,0.08,0.9080984233669589,-0.23445818331107723
1648845913.8639991,0.09124755859375,-0.6630859375,-0.197509765625,-0.71624755859375,0.04,-0.07,0.07,0.9077639899536296,-0.23569304043716005
1648845913.9264507,0.09130859375,-0.66302490234375,-0.197509765625,-0.71630859375,0.04,-0.01,0.06,0.9075149748603919,-0.2366871530640239
1648845913.988489,0.09130859375,-0.66302490234375,-0.19744873046875,-0.71630859375,0.04,-0.02,0.06,0.9074275603504477,-0.2369285916345964
1648845914.04714,0.0908203125,-0.66357421875,-0.1971435546875,-0.71588134765625,0.2,0.03,-0.2,0.9091179514353297,-0.23021462804143566
1648845914.1150591,0.0906982421875,-0.66778564453125,-0.19512939453125,-0.71258544921875,-0.52,-0.16,0.05,0.9197944479697593,-0.18505005844424843
1648845914.1708612,0.0894775390625,-0.673583984375,-0.1943359375,-0.70745849609375,0.52,-0.75,0.56,0.933024364600793,-0.10159435254462267
1648845914.2320325,0.08807373046875,-0.67730712890625,-0.19580078125,-0.7037353515625,0.09,0.42,0.2,0.9380946858175896,-0.03508437415417531
1648845914.2901347,0.083984375,-0.68212890625,-0.19854736328125,-0.69873046875,0.22,0.04,0.03,0.9371138534366213,0.05360086496135422
1648845914.4161391,0.08343505859375,-0.688720703125,-0.19903564453125,-0.692138671875,-0.32,-0.02,0.33,0.9247736991426554,0.15870581279186308
